name	modalities	tags	used_in	url	licenses	pii_removal	robots_filtering	version	raw_dir	processed_dir	tokenized_dir	processing_script	tokenization_script	dumps_preparation_script	chunking_script	notes	pocs
liboaccn/MIT-10M	image	pre-training	v1.5, v2	https://huggingface.co/datasets/liboaccn/MIT-10M	Apache-2.0	No	No	bcba6b2651771c69f93e000486c2baa0896d32c3	/capstor/store/cscs/swissai/infra01/vision-datasets/processed/hf___liboaccn___MIT-10M___recap		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_mit_10m_recap_perlang
Shopify/product-catalogue	image	pre-training	v1.5	https://huggingface.co/datasets/Shopify/product-catalogue	Apache-2.0	No	No	d5c517c509f5aca99053897ef1de797d6d7e5aa5
HuggingFaceM4/WebSight_V0.2	image	pre-training	v1.5, v2	https://huggingface.co/datasets/HuggingFaceM4/WebSight/viewer/v0.2/train?row=0	CC-BY-4.0	No	No	b11f8172f89c992b56ac702319e02c428cca4a4e	/capstor/store/cscs/swissai/infra01/vision-datasets/raw/stage2/hf___HuggingFaceM4___WebSight		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_websight
BLIP3o/BLIP3o-Pretrain-Long-Caption	image	pre-training	v1.5, v2	https://huggingface.co/datasets/BLIP3o/BLIP3o-Pretrain-Long-Caption	Apache-2.0	No	No	e4d07091a466d1a1e35a9b0c61caddc78d14a059	/capstor/store/cscs/swissai/infra01/vision-datasets/raw/stage2/hf___Salesforce___blip3-grounding-50m___recap		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_blip3o_long_caption
mvp-lab/LLaVA-OneVision-1.5-Mid-Training-85M	image	pre-training	v1.5, v2	https://huggingface.co/datasets/mvp-lab/LLaVA-OneVision-1.5-Mid-Training-85M	Apache-2.0	No	Yes	c5218cad785eba7d218137e8ce4997bda568a050	/capstor/store/cscs/swissai/infra01/vision-datasets/raw/stage2/mvp-lab__LLaVA-OneVision-1.5-Mid-Training-85M		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_llava85m_midtrain
CSU-JPG/TextAtlas5M	image	pre-training	v1.5	https://huggingface.co/datasets/CSU-JPG/TextAtlas5M	Mixed, MIT	No	No	f9f2a0f5000fbb078f718197acb45cfb9ceed551
Spawning/pd12m-full	image	pre-training	v1.5, v2	https://huggingface.co/datasets/Spawning/pd12m-full	CDLA-Permissive-2.0	No	No	7bda6bfe13c6a39fd0a286adced5df1228041720	/capstor/store/cscs/swissai/infra01/vision-datasets/processed/hf___Spawning___pd12m-full___recap		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_pd12m_full_recap2
FreedomIntelligence/TCM-Pretrain-Data-ShizhenGPT	image	pre-training	v1.5	https://huggingface.co/datasets/FreedomIntelligence/TCM-Pretrain-Data-ShizhenGPT	Apache-2.0	No	No	db4874ce4e322f47432fe322c558e516c5aad71e
UCSC-VLAA/Recap-DataComp-1B	image	pre-training	v1.5, v2	https://huggingface.co/datasets/UCSC-VLAA/Recap-DataComp-1B	CC-BY-4.0	No	Yes	457c44d98651bcfdfb3cc8695f5e60a0d2705e78	/capstor/store/cscs/swissai/infra01/vision-datasets/raw/stage2/hf___UCSC-VLAA___Recap-DataComp-1B___recap_p1		/capstor/store/cscs/swissai/infra01/vision-datasets/Apertus1p5_stage2_tokenized/8B/img2txt_recap_datacomp_1b
vector-institute/open-pmc-18m	image	pre-training	v1.5	https://huggingface.co/datasets/vector-institute/open-pmc-18m	MIT	No	No	0d97c202058f2ac1b33438ec35e4b37b31ad3a41
